Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
RR,tcp,1,6.9542e-05,115038
RR,tcp,1,6.5125e-05,122841
RR,tcp,1,6.2167e-05,128686
RR,tcp,1,6.025e-05,132780
RR,tcp,1,7.4667e-05,107142
RR,tcp,1,0.000103625,77201.4
RR,tcp,1,8.15e-05,98159.5
RR,tcp,1,8.7458e-05,91472.5
RR,tcp,1,5.3042e-05,150824
RR,tcp,1,6.0625e-05,131959
RR,tcp,1,4.825e-05,165803
RR,tcp,1,6.975e-05,114695
RR,tcp,1,6.1125e-05,130879
RR,tcp,1,7.45e-05,107383
RR,tcp,1,6.6709e-05,119924
RR,tcp,1,7.8375e-05,102073
RR,tcp,1,8.1875e-05,97709.9
RR,tcp,1,5.4709e-05,146228
RR,tcp,1,8.2625e-05,96823
RR,tcp,1,6.2083e-05,128860
RR,tcp,1,4.8041e-05,166524
RR,tcp,1,6.9e-05,115942
RR,tcp,1,5.1375e-05,155718
RR,tcp,1,7.625e-05,104918
RR,tcp,1,5.5584e-05,143926
RR,tcp,1,7.2459e-05,110407
RR,tcp,1,5.8166e-05,137537
RR,tcp,1,6.0292e-05,132688
RR,tcp,1,6.7458e-05,118592
RR,tcp,1,7.6833e-05,104122
RR,tcp,1,6.6875e-05,119626
RR,tcp,1,5.675e-05,140969
RR,tcp,1,7.2458e-05,110409
RR,tcp,1,5.3667e-05,149067
RR,tcp,1,6.2209e-05,128599
RR,tcp,1,4.7959e-05,166809
RR,tcp,1,6.4792e-05,123472
RR,tcp,1,4.1209e-05,194132
RR,tcp,1,9.5041e-05,84174.2
RR,tcp,1,6.8333e-05,117074
RR,tcp,1,4.9625e-05,161209
RR,tcp,1,8.3333e-05,96000.4
RR,tcp,1,5.6292e-05,142116
RR,tcp,1,5.5166e-05,145017
RR,tcp,1,4.9583e-05,161346
RR,tcp,1,6.5833e-05,121520
RR,tcp,1,7.3875e-05,108291
RR,tcp,1,9.3167e-05,85867.3
RR,tcp,1,5.925e-05,135021
RR,tcp,1,6.1e-05,131148
RR,tcp,1,8.6959e-05,91997.4
RR,tcp,1,7.7375e-05,103393
RR,tcp,1,5.2875e-05,151300
RR,tcp,1,5.825e-05,137339
RR,tcp,1,6.9833e-05,114559
RR,tcp,1,6.2917e-05,127152
RR,tcp,1,5.2709e-05,151777
RR,tcp,1,5.6583e-05,141385
RR,tcp,1,9.725e-05,82262.2
