Policy,Protocol,MessageSizeKB,TransferTimeSeconds,ThroughputKbps
FCFS,tcp,1,6.1916e-05,129207
FCFS,tcp,1,9.0708e-05,88195.1
FCFS,tcp,1,3.7e-05,216216
FCFS,tcp,1,8.025e-05,99688.5
FCFS,tcp,1,6.9708e-05,114764
FCFS,tcp,1,7.2792e-05,109902
FCFS,tcp,1,8.5333e-05,93750.4
FCFS,tcp,1,7.8667e-05,101694
FCFS,tcp,1,6.375e-05,125490
FCFS,tcp,1,5.0791e-05,157508
FCFS,tcp,1,4.3959e-05,181988
FCFS,tcp,1,6.15e-05,130081
FCFS,tcp,1,6.7667e-05,118226
FCFS,tcp,1,5.9542e-05,134359
FCFS,tcp,1,6.975e-05,114695
FCFS,tcp,1,5.3292e-05,150116
FCFS,tcp,1,6.6416e-05,120453
FCFS,tcp,1,5.9833e-05,133705
FCFS,tcp,1,7.0417e-05,113609
FCFS,tcp,1,6.875e-05,116364
FCFS,tcp,1,5.0125e-05,159601
FCFS,tcp,1,8.925e-05,89635.9
FCFS,tcp,1,6.6375e-05,120527
FCFS,tcp,1,6.1083e-05,130969
FCFS,tcp,1,6.7416e-05,118666
FCFS,tcp,1,7.9334e-05,100839
FCFS,tcp,1,7.1958e-05,111176
FCFS,tcp,1,6.6917e-05,119551
FCFS,tcp,1,6.9541e-05,115040
FCFS,tcp,1,7.2208e-05,110791
FCFS,tcp,1,4.5792e-05,174703
FCFS,tcp,1,7.8042e-05,102509
FCFS,tcp,1,7.55e-05,105960
FCFS,tcp,1,6.1292e-05,130523
FCFS,tcp,1,5.675e-05,140969
FCFS,tcp,1,6.2667e-05,127659
FCFS,tcp,1,7.9333e-05,100841
FCFS,tcp,1,6.7208e-05,119033
FCFS,tcp,1,5.7083e-05,140147
FCFS,tcp,1,7.3e-05,109589
FCFS,tcp,1,0.000138292,57848.6
FCFS,tcp,1,9.5333e-05,83916.4
FCFS,tcp,1,0.000115792,69089.4
FCFS,tcp,1,8.2959e-05,96433.2
FCFS,tcp,1,4.1416e-05,193162
FCFS,tcp,1,5.8292e-05,137240
FCFS,tcp,1,4.3459e-05,184082
FCFS,tcp,1,7.5083e-05,106549
FCFS,tcp,1,7.2125e-05,110919
FCFS,tcp,1,5.5125e-05,145125
FCFS,tcp,1,6.1917e-05,129205
FCFS,tcp,1,6.825e-05,117216
FCFS,tcp,1,8.3625e-05,95665.2
FCFS,tcp,1,6.8709e-05,116433
FCFS,tcp,1,7.1541e-05,111824
FCFS,tcp,1,7.3834e-05,108351
FCFS,tcp,1,6.6083e-05,121060
FCFS,tcp,1,6.4417e-05,124191
FCFS,tcp,1,5.3666e-05,149070
FCFS,tcp,1,5.3125e-05,150588
FCFS,tcp,1,7.5917e-05,105378
FCFS,tcp,1,7.9667e-05,100418
FCFS,tcp,1,4.2709e-05,187314
FCFS,tcp,1,7.0875e-05,112875
FCFS,tcp,1,6.0334e-05,132595
